district,date,month,year,visitors,type
Karimnagar ,01-12-2018,December,2018,7800,domestic
Khammam,01-01-2018,January,2018,110094,domestic
Khammam,01-02-2018,February,2018,104444,domestic
Khammam,01-03-2018,March,2018,127152,domestic
Khammam,01-04-2018,April,2018,126553,domestic
Khammam,01-05-2018,May,2018,135189,domestic
Khammam,01-06-2018,June,2018,135988,domestic
Khammam,01-07-2018,July,2018,85932,domestic
Khammam,01-08-2018,August,2018,86309,domestic
Khammam,01-09-2018,September,2018,143465,domestic
Khammam,01-10-2018,October,2018,127645,domestic
Khammam,01-11-2018,November,2018,99070,domestic
Khammam,01-12-2018,December,2018,135600,domestic
Komaram Bheem Asifabad,01-01-2018,January,2018,2863,domestic
Komaram Bheem Asifabad,01-02-2018,February,2018,2736,domestic
Komaram Bheem Asifabad,01-03-2018,March,2018,1826,domestic
Komaram Bheem Asifabad,01-04-2018,April,2018,868,domestic
Komaram Bheem Asifabad,01-05-2018,May,2018,793,domestic
Komaram Bheem Asifabad,01-06-2018,June,2018,990,domestic
Komaram Bheem Asifabad,01-07-2018,July,2018,1954,domestic
Komaram Bheem Asifabad,01-08-2018,August,2018,2263,domestic
Komaram Bheem Asifabad,01-09-2018,September,2018,1819,domestic
Komaram Bheem Asifabad,01-10-2018,October,2018,2525,domestic
Komaram Bheem Asifabad,01-11-2018,November,2018,1741,domestic
Komaram Bheem Asifabad,01-12-2018,December,2018,2176,domestic
Mahabubabad ,01-01-2018,January,2018,14000,domestic
Mahabubabad ,01-02-2018,February,2018,14230,domestic
Mahabubabad ,01-03-2018,March,2018,13110,domestic
Mahabubabad ,01-04-2018,April,2018,12915,domestic
Mahabubabad ,01-05-2018,May,2018,12865,domestic
Mahabubabad ,01-06-2018,June,2018,13910,domestic
Mahabubabad ,01-07-2018,July,2018,13970,domestic
Mahabubabad ,01-08-2018,August,2018,13200,domestic
Mahabubabad ,01-09-2018,September,2018,13420,domestic
Mahabubabad ,01-10-2018,October,2018,13550,domestic
Mahabubabad ,01-11-2018,November,2018,13700,domestic
Mahabubabad ,01-12-2018,December,2018,17125,domestic
Mahbubnagar,01-01-2018,January,2018,156153,domestic
Mahbubnagar,01-02-2018,February,2018,788083,domestic
Mahbubnagar,01-03-2018,March,2018,166863,domestic
Mahbubnagar,01-04-2018,April,2018,196061,domestic
Mahbubnagar,01-05-2018,May,2018,193478,domestic
Mahbubnagar,01-06-2018,June,2018,165553,domestic
Mahbubnagar,01-07-2018,July,2018,161841,domestic
Mahbubnagar,01-08-2018,August,2018,169154,domestic
Mahbubnagar,01-09-2018,September,2018,167833,domestic
Mahbubnagar,01-10-2018,October,2018,193152,domestic
Mahbubnagar,01-11-2018,November,2018,295910,domestic
Mahbubnagar,01-12-2018,December,2018,198227,domestic
Mancherial,01-01-2018,January,2018,71955,domestic
Mancherial,01-02-2018,February,2018,38599,domestic
Mancherial,01-03-2018,March,2018,20749,domestic
Mancherial,01-04-2018,April,2018,38483,domestic
Mancherial,01-05-2018,May,2018,26179,domestic
Mancherial,01-06-2018,June,2018,31667,domestic
Mancherial,01-07-2018,July,2018,27937,domestic
Mancherial,01-08-2018,August,2018,31861,domestic
Mancherial,01-09-2018,September,2018,23141,domestic
Mancherial,01-10-2018,October,2018,30740,domestic
Mancherial,01-11-2018,November,2018,25197,domestic
Mancherial,01-12-2018,December,2018,31496,domestic
Medak ,01-01-2018,January,2018,100000,domestic
Medak ,01-02-2018,February,2018,1000000,domestic
Medak ,01-03-2018,March,2018,600000,domestic
Medak ,01-04-2018,April,2018,200000,domestic
Medak ,01-05-2018,May,2018,300000,domestic
Medak ,01-06-2018,June,2018,500000,domestic
Medak ,01-07-2018,July,2018,150000,domestic
Medak ,01-08-2018,August,2018,50000,domestic
Medak ,01-09-2018,September,2018,100000,domestic
Medak ,01-10-2018,October,2018,300000,domestic
Medak ,01-11-2018,November,2018,200000,domestic
Medak ,01-12-2018,December,2018,400000,domestic
Medchal ,01-01-2018,January,2018, ,domestic
Medchal ,01-02-2018,February,2018, ,domestic
Medchal ,01-03-2018,March,2018, ,domestic
Medchal ,01-04-2018,April,2018, ,domestic
Medchal ,01-05-2018,May,2018, ,domestic
Medchal ,01-06-2018,June,2018, ,domestic
Medchal ,01-07-2018,July,2018, ,domestic
Medchal ,01-08-2018,August,2018, ,domestic
Medchal ,01-09-2018,September,2018, ,domestic
Medchal ,01-10-2018,October,2018, ,domestic
Medchal ,01-11-2018,November,2018, ,domestic
Medchal ,01-12-2018,December,2018, ,domestic
Nagarkurnool ,01-01-2018,January,2018,228812,domestic
Nagarkurnool ,01-02-2018,February,2018,286258,domestic
Nagarkurnool ,01-03-2018,March,2018,184508,domestic
Nagarkurnool ,01-04-2018,April,2018,174592,domestic
Nagarkurnool ,01-05-2018,May,2018,183697,domestic
Nagarkurnool ,01-06-2018,June,2018,180010,domestic
Nagarkurnool ,01-07-2018,July,2018,93450,domestic
Nagarkurnool ,01-08-2018,August,2018,118010,domestic
Nagarkurnool ,01-09-2018,September,2018,118449,domestic
Nagarkurnool ,01-10-2018,October,2018,201050,domestic
Nagarkurnool ,01-11-2018,November,2018,121452,domestic
Nagarkurnool ,01-12-2018,December,2018,198637,domestic
Nalgonda,01-01-2018,January,2018,36205,domestic
Nalgonda,01-02-2018,February,2018,9971,domestic
Nalgonda,01-03-2018,March,2018,9677,domestic
Nalgonda,01-04-2018,April,2018,9779,domestic
Nalgonda,01-05-2018,May,2018,10241,domestic
Nalgonda,01-06-2018,June,2018,9066,domestic
Nalgonda,01-07-2018,July,2018,9668,domestic
Nalgonda,01-08-2018,August,2018,10135,domestic
Nalgonda,01-09-2018,September,2018,21365,domestic
Nalgonda,01-10-2018,October,2018,22332,domestic
Nalgonda,01-11-2018,November,2018,5422,domestic
Nalgonda,01-12-2018,December,2018,6777,domestic
Nirmal,01-01-2018,January,2018,480241,domestic
Nirmal,01-02-2018,February,2018,335447,domestic
Nirmal,01-03-2018,March,2018,328099,domestic
Nirmal,01-04-2018,April,2018,368645,domestic
Nirmal,01-05-2018,May,2018,342650,domestic
Nirmal,01-06-2018,June,2018,355197,domestic
Nirmal,01-07-2018,July,2018,335356,domestic
Nirmal,01-08-2018,August,2018,313910,domestic
Nirmal,01-09-2018,September,2018,293859,domestic
Nirmal,01-10-2018,October,2018,373291,domestic
Nirmal,01-11-2018,November,2018,289169,domestic
Nirmal,01-12-2018,December,2018,361461,domestic
Nizamabad,01-01-2018,January,2018,2495,domestic
Nizamabad,01-02-2018,February,2018,7152,domestic
Nizamabad,01-03-2018,March,2018,2903,domestic
Nizamabad,01-04-2018,April,2018,3550,domestic
Nizamabad,01-05-2018,May,2018,5360,domestic
Nizamabad,01-06-2018,June,2018,1761,domestic
Nizamabad,01-07-2018,July,2018,5882,domestic
Nizamabad,01-08-2018,August,2018,10525,domestic
Nizamabad,01-09-2018,September,2018,475,domestic
Nizamabad,01-10-2018,October,2018,490,domestic
Nizamabad,01-11-2018,November,2018,475,domestic
Nizamabad,01-12-2018,December,2018,355,domestic
Peddapalli,01-01-2018,January,2018,2670,domestic
Peddapalli,01-02-2018,February,2018,2695,domestic
Peddapalli,01-03-2018,March,2018,2325,domestic
Peddapalli,01-04-2018,April,2018,1940,domestic
Peddapalli,01-05-2018,May,2018,1499,domestic
Peddapalli,01-06-2018,June,2018,1580,domestic
Peddapalli,01-07-2018,July,2018,1580,domestic
Peddapalli,01-08-2018,August,2018,1595,domestic
Peddapalli,01-09-2018,September,2018,1475,domestic
Peddapalli,01-10-2018,October,2018,1545,domestic
Peddapalli,01-11-2018,November,2018,1655,domestic
Peddapalli,01-12-2018,December,2018,1695,domestic
Rajanna Sircilla ,01-01-2018,January,2018,2238074,domestic
Rajanna Sircilla ,01-02-2018,February,2018,1021787,domestic
Rajanna Sircilla ,01-03-2018,March,2018,1022669,domestic
Rajanna Sircilla ,01-04-2018,April,2018,833874,domestic
Rajanna Sircilla ,01-05-2018,May,2018,1021952,domestic
Rajanna Sircilla ,01-06-2018,June,2018,320886,domestic
Rajanna Sircilla ,01-07-2018,July,2018,937720,domestic
Rajanna Sircilla ,01-08-2018,August,2018,320952,domestic
Rajanna Sircilla ,01-09-2018,September,2018,818693,domestic
Rajanna Sircilla ,01-10-2018,October,2018,506563,domestic
Rajanna Sircilla ,01-11-2018,November,2018,840933,domestic
Rajanna Sircilla ,01-12-2018,December,2018,950128,domestic
Ranga Reddy,01-01-2018,January,2018, ,domestic
Ranga Reddy,01-02-2018,February,2018, ,domestic
Ranga Reddy,01-03-2018,March,2018, ,domestic
Ranga Reddy,01-04-2018,April,2018, ,domestic
Ranga Reddy,01-05-2018,May,2018, ,domestic
Ranga Reddy,01-06-2018,June,2018, ,domestic
Ranga Reddy,01-07-2018,July,2018, ,domestic
Ranga Reddy,01-08-2018,August,2018, ,domestic
Ranga Reddy,01-09-2018,September,2018, ,domestic
Ranga Reddy,01-10-2018,October,2018, ,domestic
Ranga Reddy,01-11-2018,November,2018, ,domestic
Ranga Reddy,01-12-2018,December,2018, ,domestic
Sangareddy ,01-01-2018,January,2018,254000,domestic
Sangareddy ,01-02-2018,February,2018,540000,domestic
Sangareddy ,01-03-2018,March,2018,158500,domestic
Sangareddy ,01-04-2018,April,2018,162500,domestic
Sangareddy ,01-05-2018,May,2018,157000,domestic
Sangareddy ,01-06-2018,June,2018,93500,domestic
Sangareddy ,01-07-2018,July,2018,108600,domestic
Sangareddy ,01-08-2018,August,2018,205000,domestic
Sangareddy ,01-09-2018,September,2018,125000,domestic
Sangareddy ,01-10-2018,October,2018,171800,domestic
Sangareddy ,01-11-2018,November,2018,160000,domestic
Sangareddy ,01-12-2018,December,2018,134000,domestic
Siddipet,01-01-2018,January,2018,253000,domestic
Siddipet,01-02-2018,February,2018,44000,domestic
Siddipet,01-03-2018,March,2018,164800,domestic
Siddipet,01-04-2018,April,2018,115000,domestic
Siddipet,01-05-2018,May,2018,165200,domestic
Siddipet,01-06-2018,June,2018,104300,domestic
Siddipet,01-07-2018,July,2018,54000,domestic
Siddipet,01-08-2018,August,2018,100000,domestic
Siddipet,01-09-2018,September,2018,55000,domestic
Siddipet,01-10-2018,October,2018,43000,domestic
Siddipet,01-11-2018,November,2018,135000,domestic
Siddipet,01-12-2018,December,2018,50000,domestic
Suryapet,01-01-2018,January,2018,,domestic
Suryapet,01-02-2018,February,2018,,domestic
Suryapet,01-03-2018,March,2018,,domestic
Suryapet,01-04-2018,April,2018,,domestic
Suryapet,01-05-2018,May,2018,,domestic
Suryapet,01-06-2018,June,2018,,domestic
Suryapet,01-07-2018,July,2018,,domestic
Suryapet,01-08-2018,August,2018,,domestic
Suryapet,01-09-2018,September,2018,,domestic
Suryapet,01-10-2018,October,2018,,domestic
Suryapet,01-11-2018,November,2018,,domestic
Suryapet,01-12-2018,December,2018,,domestic
Vikarabad,01-01-2018,January,2018, ,domestic
Vikarabad,01-02-2018,February,2018, ,domestic
Vikarabad,01-03-2018,March,2018, ,domestic
Vikarabad,01-04-2018,April,2018, ,domestic
Vikarabad,01-05-2018,May,2018, ,domestic
Vikarabad,01-06-2018,June,2018, ,domestic
Vikarabad,01-07-2018,July,2018, ,domestic
Vikarabad,01-08-2018,August,2018, ,domestic
Vikarabad,01-09-2018,September,2018, ,domestic
Vikarabad,01-10-2018,October,2018, ,domestic
Vikarabad,01-11-2018,November,2018, ,domestic
Vikarabad,01-12-2018,December,2018, ,domestic
Wanaparthy ,01-01-2018,January,2018,28131,domestic
Wanaparthy ,01-02-2018,February,2018,22341,domestic
Wanaparthy ,01-03-2018,March,2018,20050,domestic
Wanaparthy ,01-04-2018,April,2018,10550,domestic
Wanaparthy ,01-05-2018,May,2018,11502,domestic
Wanaparthy ,01-06-2018,June,2018,19092,domestic
Wanaparthy ,01-07-2018,July,2018,32625,domestic
Wanaparthy ,01-08-2018,August,2018,35860,domestic
Wanaparthy ,01-09-2018,September,2018,32002,domestic
Wanaparthy ,01-10-2018,October,2018,21234,domestic
Wanaparthy ,01-11-2018,November,2018,32657,domestic
Wanaparthy ,01-12-2018,December,2018,20556,domestic
Warangal (Rural),01-01-2018,January,2018,25200,domestic
Warangal (Rural),01-02-2018,February,2018,26300,domestic
Warangal (Rural),01-03-2018,March,2018,26200,domestic
Warangal (Rural),01-04-2018,April,2018,21600,domestic
Warangal (Rural),01-05-2018,May,2018,22100,domestic
Warangal (Rural),01-06-2018,June,2018,23100,domestic
Warangal (Rural),01-07-2018,July,2018,25900,domestic
Warangal (Rural),01-08-2018,August,2018,25700,domestic
Warangal (Rural),01-09-2018,September,2018,25800,domestic
Warangal (Rural),01-10-2018,October,2018,26000,domestic
Warangal (Rural),01-11-2018,November,2018,24050,domestic
Warangal (Rural),01-12-2018,December,2018,30062,domestic
Warangal (Urban),01-01-2018,January,2018,137530,domestic
Warangal (Urban),01-02-2018,February,2018,145750,domestic
Warangal (Urban),01-03-2018,March,2018,140300,domestic
Warangal (Urban),01-04-2018,April,2018,142510,domestic
Warangal (Urban),01-05-2018,May,2018,143425,domestic
Warangal (Urban),01-06-2018,June,2018,135615,domestic
Warangal (Urban),01-07-2018,July,2018,136560,domestic
Warangal (Urban),01-08-2018,August,2018,136760,domestic
Warangal (Urban),01-09-2018,September,2018,138780,domestic
Warangal (Urban),01-10-2018,October,2018,140948,domestic
Warangal (Urban),01-11-2018,November,2018,144515,domestic
Warangal (Urban),01-12-2018,December,2018,180643,domestic
Yadadri Bhongir,01-01-2018,January,2018,2016000,domestic
Yadadri Bhongir,01-02-2018,February,2018,3073872,domestic
Yadadri Bhongir,01-03-2018,March,2018,2836580,domestic
Yadadri Bhongir,01-04-2018,April,2018,692370,domestic
Yadadri Bhongir,01-05-2018,May,2018,781842,domestic
Yadadri Bhongir,01-06-2018,June,2018,577570,domestic
Yadadri Bhongir,01-07-2018,July,2018,671156,domestic
Yadadri Bhongir,01-08-2018,August,2018,526445,domestic
Yadadri Bhongir,01-09-2018,September,2018,819350,domestic
Yadadri Bhongir,01-10-2018,October,2018,586475,domestic
Yadadri Bhongir,01-11-2018,November,2018,485208,domestic
Yadadri Bhongir,01-12-2018,December,2018,606510,domestic
Adilabad,01-01-2019,January,2019,25071,domestic
Adilabad,01-02-2019,February,2019,406177,domestic
Adilabad,01-03-2019,March,2019,14347,domestic
Adilabad,01-04-2019,April,2019,9972,domestic
Adilabad,01-05-2019,May,2019,6997,domestic
Adilabad,01-06-2019,June,2019,9161,domestic
Adilabad,01-07-2019,July,2019,11791,domestic
Adilabad,01-08-2019,August,2019,108173,domestic
Adilabad,01-09-2019,September,2019,37589,domestic
Adilabad,01-10-2019,October,2019,38184,domestic
Adilabad,01-11-2019,November,2019,70344,domestic
Adilabad,01-12-2019,December,2019,38089,domestic
Bhadradri Kothagudem ,01-01-2019,January,2019,283365,domestic
Bhadradri Kothagudem ,01-02-2019,February,2019,229159,domestic
Bhadradri Kothagudem ,01-03-2019,March,2019,225448,domestic
Bhadradri Kothagudem ,01-04-2019,April,2019,349585,domestic
Bhadradri Kothagudem ,01-05-2019,May,2019,275800,domestic
Bhadradri Kothagudem ,01-06-2019,June,2019,9761776,domestic
Bhadradri Kothagudem ,01-07-2019,July,2019,233338,domestic
Bhadradri Kothagudem ,01-08-2019,August,2019,271941,domestic
Bhadradri Kothagudem ,01-09-2019,September,2019,314199,domestic
Bhadradri Kothagudem ,01-10-2019,October,2019,287432,domestic
Bhadradri Kothagudem ,01-11-2019,November,2019,298366,domestic
Bhadradri Kothagudem ,01-12-2019,December,2019,287328,domestic
Hyderabad,01-01-2019,January,2019,1426500,domestic
Hyderabad,01-02-2019,February,2019,983147,domestic
Hyderabad,01-03-2019,March,2019,1009991,domestic
Hyderabad,01-04-2019,April,2019,1045933,domestic
Hyderabad,01-05-2019,May,2019,1305748,domestic
Hyderabad,01-06-2019,June,2019,1262995,domestic
Hyderabad,01-07-2019,July,2019,1094861,domestic
Hyderabad,01-08-2019,August,2019,1121380,domestic
Hyderabad,01-09-2019,September,2019,959930,domestic
Hyderabad,01-10-2019,October,2019,1240643,domestic
Hyderabad,01-11-2019,November,2019,1073665,domestic
Hyderabad,01-12-2019,December,2019,1277569,domestic
Jagtial ,01-01-2019,January,2019,211913,domestic
Jagtial ,01-02-2019,February,2019,215105,domestic
Jagtial ,01-03-2019,March,2019,194090,domestic
Jagtial ,01-04-2019,April,2019,447226,domestic
Jagtial ,01-05-2019,May,2019,500206,domestic
Jagtial ,01-06-2019,June,2019,235363,domestic
Jagtial ,01-07-2019,July,2019,157419,domestic
Jagtial ,01-08-2019,August,2019,151570,domestic
Jagtial ,01-09-2019,September,2019,157564,domestic
Jagtial ,01-10-2019,October,2019,165070,domestic
Jagtial ,01-11-2019,November,2019,277630,domestic
Jagtial ,01-12-2019,December,2019,372959,domestic
Jangaon ,01-01-2019,January,2019,28750,domestic
Jangaon ,01-02-2019,February,2019,28810,domestic
Jangaon ,01-03-2019,March,2019,27300,domestic
Jangaon ,01-04-2019,April,2019,26160,domestic
Jangaon ,01-05-2019,May,2019,26740,domestic
Jangaon ,01-06-2019,June,2019,25820,domestic
Jangaon ,01-07-2019,July,2019,24160,domestic
Jangaon ,01-08-2019,August,2019,27800,domestic
Jangaon ,01-09-2019,September,2019,28640,domestic
Jangaon ,01-10-2019,October,2019,27840,domestic
Jangaon ,01-11-2019,November,2019,28410,domestic
Jangaon ,01-12-2019,December,2019,28460,domestic
Jayashankar Bhoopalpally,01-01-2019,January,2019,197430,domestic
Jayashankar Bhoopalpally,01-02-2019,February,2019,33500,domestic
Jayashankar Bhoopalpally,01-03-2019,March,2019,37500,domestic
Jayashankar Bhoopalpally,01-04-2019,April,2019,38500,domestic
Jayashankar Bhoopalpally,01-05-2019,May,2019,30800,domestic
Jayashankar Bhoopalpally,01-06-2019,June,2019,40500,domestic
Jayashankar Bhoopalpally,01-07-2019,July,2019,45500,domestic
Jayashankar Bhoopalpally,01-08-2019,August,2019,45000,domestic
Jayashankar Bhoopalpally,01-09-2019,September,2019,50500,domestic
Jayashankar Bhoopalpally,01-10-2019,October,2019,46000,domestic
Jayashankar Bhoopalpally,01-11-2019,November,2019,51500,domestic
Jayashankar Bhoopalpally,01-12-2019,December,2019,45800,domestic
Jogulamba Gadwal ,01-01-2019,January,2019,146441,domestic
Jogulamba Gadwal ,01-02-2019,February,2019,481110,domestic
Jogulamba Gadwal ,01-03-2019,March,2019,155013,domestic
Jogulamba Gadwal ,01-04-2019,April,2019,82334,domestic
Jogulamba Gadwal ,01-05-2019,May,2019,154609,domestic
Jogulamba Gadwal ,01-06-2019,June,2019,155013,domestic
Jogulamba Gadwal ,01-07-2019,July,2019,114951,domestic
Jogulamba Gadwal ,01-08-2019,August,2019,123733,domestic
Jogulamba Gadwal ,01-09-2019,September,2019,131485,domestic
Jogulamba Gadwal ,01-10-2019,October,2019,152898,domestic
Jogulamba Gadwal ,01-11-2019,November,2019,128075,domestic
Jogulamba Gadwal ,01-12-2019,December,2019,182333,domestic
Kamareddy ,01-01-2019,January,2019,42,domestic
Kamareddy ,01-02-2019,February,2019,41,domestic
Kamareddy ,01-03-2019,March,2019,45,domestic
Kamareddy ,01-04-2019,April,2019,41,domestic
Kamareddy ,01-05-2019,May,2019,46,domestic
Kamareddy ,01-06-2019,June,2019,41,domestic
Kamareddy ,01-07-2019,July,2019,50,domestic
Kamareddy ,01-08-2019,August,2019,50,domestic
Kamareddy ,01-09-2019,September,2019,41,domestic
Kamareddy ,01-10-2019,October,2019,46,domestic
Kamareddy ,01-11-2019,November,2019,46,domestic
Kamareddy ,01-12-2019,December,2019,45,domestic
Karimnagar ,01-01-2019,January,2019,10285,domestic
Karimnagar ,01-02-2019,February,2019,6480,domestic
Karimnagar ,01-03-2019,March,2019,6634,domestic
Karimnagar ,01-04-2019,April,2019,5623,domestic
Karimnagar ,01-05-2019,May,2019,3393,domestic
Karimnagar ,01-06-2019,June,2019,3871,domestic
Karimnagar ,01-07-2019,July,2019,5192,domestic
Karimnagar ,01-08-2019,August,2019,5480,domestic
Karimnagar ,01-09-2019,September,2019,8735,domestic
Karimnagar ,01-10-2019,October,2019,6799,domestic
Karimnagar ,01-11-2019,November,2019,7101,domestic
Karimnagar ,01-12-2019,December,2019,7898,domestic
Khammam,01-01-2019,January,2019,123550,domestic
Khammam,01-02-2019,February,2019,98471,domestic
Khammam,01-03-2019,March,2019,91340,domestic
Khammam,01-04-2019,April,2019,135920,domestic
Khammam,01-05-2019,May,2019,130971,domestic
Khammam,01-06-2019,June,2019,127270,domestic
Khammam,01-07-2019,July,2019,103260,domestic
Khammam,01-08-2019,August,2019,111374,domestic
Khammam,01-09-2019,September,2019,133754,domestic
Khammam,01-10-2019,October,2019,128625,domestic
Khammam,01-11-2019,November,2019,104380,domestic
Khammam,01-12-2019,December,2019,124525,domestic
Komaram Bheem Asifabad,01-01-2019,January,2019,2476,domestic
Komaram Bheem Asifabad,01-02-2019,February,2019,1449,domestic
Komaram Bheem Asifabad,01-03-2019,March,2019,1212,domestic
Komaram Bheem Asifabad,01-04-2019,April,2019,663,domestic
Komaram Bheem Asifabad,01-05-2019,May,2019,493,domestic
Komaram Bheem Asifabad,01-06-2019,June,2019,506,domestic
Komaram Bheem Asifabad,01-07-2019,July,2019,1287,domestic
Komaram Bheem Asifabad,01-08-2019,August,2019,2572,domestic
Komaram Bheem Asifabad,01-09-2019,September,2019,1629,domestic
Komaram Bheem Asifabad,01-10-2019,October,2019,1943,domestic
Komaram Bheem Asifabad,01-11-2019,November,2019,2176,domestic
Komaram Bheem Asifabad,01-12-2019,December,2019,2783,domestic
Mahabubabad ,01-01-2019,January,2019,13480,domestic
Mahabubabad ,01-02-2019,February,2019,13545,domestic
Mahabubabad ,01-03-2019,March,2019,13490,domestic
Mahabubabad ,01-04-2019,April,2019,12980,domestic
Mahabubabad ,01-05-2019,May,2019,11970,domestic
Mahabubabad ,01-06-2019,June,2019,11460,domestic
Mahabubabad ,01-07-2019,July,2019,13470,domestic
Mahabubabad ,01-08-2019,August,2019,12190,domestic
Mahabubabad ,01-09-2019,September,2019,13210,domestic
Mahabubabad ,01-10-2019,October,2019,12260,domestic
Mahabubabad ,01-11-2019,November,2019,12470,domestic
Mahabubabad ,01-12-2019,December,2019,12360,domestic
Mahbubnagar,01-01-2019,January,2019,168082,domestic
Mahbubnagar,01-02-2019,February,2019,798949,domestic
Mahbubnagar,01-03-2019,March,2019,173658,domestic
Mahbubnagar,01-04-2019,April,2019,183268,domestic
Mahbubnagar,01-05-2019,May,2019,175202,domestic
Mahbubnagar,01-06-2019,June,2019,175853,domestic
Mahbubnagar,01-07-2019,July,2019,100398,domestic
Mahbubnagar,01-08-2019,August,2019,104787,domestic
Mahbubnagar,01-09-2019,September,2019,141387,domestic
Mahbubnagar,01-10-2019,October,2019,130227,domestic
Mahbubnagar,01-11-2019,November,2019,234066,domestic
Mahbubnagar,01-12-2019,December,2019,148938,domestic
Mancherial,01-01-2019,January,2019,18420,domestic
Mancherial,01-02-2019,February,2019,26325,domestic
Mancherial,01-03-2019,March,2019,16253,domestic
Mancherial,01-04-2019,April,2019,23026,domestic
Mancherial,01-05-2019,May,2019,26616,domestic
Mancherial,01-06-2019,June,2019,24593,domestic
Mancherial,01-07-2019,July,2019,22303,domestic
Mancherial,01-08-2019,August,2019,21191,domestic
Mancherial,01-09-2019,September,2019,24079,domestic
Mancherial,01-10-2019,October,2019,20867,domestic
Mancherial,01-11-2019,November,2019,29302,domestic
Mancherial,01-12-2019,December,2019,16835,domestic
Medak ,01-01-2019,January,2019,400000,domestic
Medak ,01-02-2019,February,2019,600000,domestic
Medak ,01-03-2019,March,2019,1000000,domestic
Medak ,01-04-2019,April,2019,650000,domestic
Medak ,01-05-2019,May,2019,400000,domestic
Medak ,01-06-2019,June,2019,300000,domestic
Medak ,01-07-2019,July,2019,350000,domestic
Medak ,01-08-2019,August,2019,349900,domestic
Medak ,01-09-2019,September,2019,350400,domestic
Medak ,01-10-2019,October,2019,350000,domestic
Medak ,01-11-2019,November,2019,351560,domestic
Medak ,01-12-2019,December,2019,350710,domestic
Medchal ,01-01-2019,January,2019, ,domestic
Medchal ,01-02-2019,February,2019, ,domestic
Medchal ,01-03-2019,March,2019, ,domestic
Medchal ,01-04-2019,April,2019, ,domestic
Medchal ,01-05-2019,May,2019, ,domestic
Medchal ,01-06-2019,June,2019, ,domestic
Medchal ,01-07-2019,July,2019, ,domestic
Medchal ,01-08-2019,August,2019, ,domestic
Medchal ,01-09-2019,September,2019, ,domestic
Medchal ,01-10-2019,October,2019, ,domestic
Medchal ,01-11-2019,November,2019, ,domestic
Medchal ,01-12-2019,December,2019, ,domestic
Mulugu,01-01-2019,January,2019,0,domestic
Mulugu,01-02-2019,February,2019,159640,domestic
Mulugu,01-03-2019,March,2019,156610,domestic
Mulugu,01-04-2019,April,2019,152570,domestic
Mulugu,01-05-2019,May,2019,154550,domestic
Mulugu,01-06-2019,June,2019,163480,domestic
Mulugu,01-07-2019,July,2019,167700,domestic
Mulugu,01-08-2019,August,2019,171050,domestic
Mulugu,01-09-2019,September,2019,172900,domestic
Mulugu,01-10-2019,October,2019,172500,domestic
Mulugu,01-11-2019,November,2019,173700,domestic
Mulugu,01-12-2019,December,2019,175100,domestic
Nagarkurnool ,01-01-2019,January,2019,228812,domestic
Nagarkurnool ,01-02-2019,February,2019,286258,domestic
Nagarkurnool ,01-03-2019,March,2019,184508,domestic
Nagarkurnool ,01-04-2019,April,2019,121460,domestic
Nagarkurnool ,01-05-2019,May,2019,184372,domestic
Nagarkurnool ,01-06-2019,June,2019,184508,domestic
Nagarkurnool ,01-07-2019,July,2019,93450,domestic
Nagarkurnool ,01-08-2019,August,2019,118010,domestic
Nagarkurnool ,01-09-2019,September,2019,175712,domestic
Nagarkurnool ,01-10-2019,October,2019,196160,domestic
Nagarkurnool ,01-11-2019,November,2019,121425,domestic
Nagarkurnool ,01-12-2019,December,2019,198637,domestic
Nalgonda,01-01-2019,January,2019,21284,domestic
Nalgonda,01-02-2019,February,2019,13697,domestic
Nalgonda,01-03-2019,March,2019,8467,domestic
Nalgonda,01-04-2019,April,2019,7202,domestic
Nalgonda,01-05-2019,May,2019,26338,domestic
Nalgonda,01-06-2019,June,2019,5558,domestic
Nalgonda,01-07-2019,July,2019,19783,domestic
Nalgonda,01-08-2019,August,2019,7473,domestic
Nalgonda,01-09-2019,September,2019,5230,domestic
Nalgonda,01-10-2019,October,2019,5290,domestic
Nalgonda,01-11-2019,November,2019,7177,domestic
Nalgonda,01-12-2019,December,2019,13419,domestic
Narayanapet,01-01-2019,January,2019,,domestic
Narayanapet,01-02-2019,February,2019,,domestic
Narayanapet,01-03-2019,March,2019,,domestic
Narayanapet,01-04-2019,April,2019,,domestic
Narayanapet,01-05-2019,May,2019,,domestic
Narayanapet,01-06-2019,June,2019,,domestic
Narayanapet,01-07-2019,July,2019,68842,domestic
Narayanapet,01-08-2019,August,2019,72249,domestic
Narayanapet,01-09-2019,September,2019,62841,domestic
Narayanapet,01-10-2019,October,2019,58213,domestic
Narayanapet,01-11-2019,November,2019,62750,domestic
Narayanapet,01-12-2019,December,2019,64355,domestic
Nirmal,01-01-2019,January,2019,313675,domestic
Nirmal,01-02-2019,February,2019,443898,domestic
Nirmal,01-03-2019,March,2019,424964,domestic
Nirmal,01-04-2019,April,2019,327971,domestic
Nirmal,01-05-2019,May,2019,149705,domestic
Nirmal,01-06-2019,June,2019,349747,domestic
Nirmal,01-07-2019,July,2019,359495,domestic
Nirmal,01-08-2019,August,2019,334646,domestic
Nirmal,01-09-2019,September,2019,299827,domestic
Nirmal,01-10-2019,October,2019,263412,domestic
Nirmal,01-11-2019,November,2019,253388,domestic
Nirmal,01-12-2019,December,2019,296050,domestic
